Biscuit Clicker,Clicker per Biscotti,QIb,
Start,Inizio,Hov,
Load,Caricare,yaS,
Options,Opzioni,Duh,
Quit,Uscita,Bup,
Volume,Volume,muq,
Language,Lingua,Hol,
Save,Salva,choq,
Back,Indietro,chap,
Clicks: ,Clic: ,tlhaw'DIyuS ,
Money: $,Denaro: $,Huch: $,
Button,Pulsante,'ach DaH SoSwI'vaD,
Save Successful,Salvataggio eseguito con successo,Qapla',
Better Ingredients,Ingredienti migliori,qeylIS,
Improved Clicking,Clic migliorato,lubuS,
Ant Repellent,Formica via,'eSpI',
Auto Clicker,Clicker automatico,tlhaw'DIyuS,
Select Starting Level,Seleziona il livello di partenza,qevpob,
Lowest,Più basso,'eS,
Medium,Medio,HIMuj,
Highest,Massimo,jen,
